what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903234892
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903237544
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903242973
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1432903244299
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903258667
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903270881
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903273674
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903312081
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903312799
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903431312
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903434510
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903444978
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903448535
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903449923
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1432903452185
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.closeProject",1432903478253
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903478674
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903478705
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903478721
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903478737
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903478752
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903478768
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903478783
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903478830
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903478893
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1432903478955
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.closeProject",1432903483214
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903486771
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903506246
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903508165
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903509429
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1432903509553
